11.26,2.55,1.4306,2.55,11.26,2.73,0.0
11.26,2.55,1.2935,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.2954,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.4294,2.55,11.26,2.4333,0.0
11.26,2.55,1.2956,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.2935,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.2939,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.4261,2.55,11.26,2.4917,0.0
11.26,2.55,1.4297,2.55,11.26,2.4917,0.0
11.26,2.55,1.431,2.55,11.26,2.73,0.0
11.26,2.55,1.2938,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.2956,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.4299,2.55,11.26,2.4333,0.0
11.26,2.55,1.2956,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.2936,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.2942,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.4266,2.55,11.26,2.4917,0.0
11.26,2.55,1.4311,2.55,11.26,2.4917,0.0
11.26,2.55,1.4309,2.55,11.26,2.73,0.0
11.26,2.55,1.294,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.2959,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.43,2.55,11.26,2.4333,0.0
11.26,2.55,1.2958,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.2932,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.2949,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.4273,2.55,11.26,2.4917,0.0
11.26,2.55,1.4311,2.55,11.26,2.4917,0.0
11.26,2.55,1.4314,2.55,11.26,2.73,0.0
11.26,2.55,1.294,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.296,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.4305,2.55,11.26,2.4333,0.0
11.26,2.55,1.2959,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.2934,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.2949,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.4276,2.55,11.26,2.4917,0.0
11.26,2.55,1.4318,2.55,11.26,2.4917,0.0
11.26,2.55,1.431,2.55,11.26,2.73,0.0
11.26,2.55,1.294,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.2957,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.4299,2.55,11.26,2.4333,0.0
11.26,2.55,1.2957,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.2932,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.2944,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.4271,2.55,11.26,2.4917,0.0
11.26,2.55,1.4307,2.55,11.26,2.4917,0.0
11.26,2.55,1.4311,2.55,11.26,2.73,0.0
11.26,2.55,1.2936,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.2955,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.4298,2.55,11.26,2.4333,0.0
11.26,2.55,1.2957,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.2937,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.2938,2.4333,12.0393,2.4625,-0.35
11.26,2.55,1.4263,2.55,11.26,2.4917,0.0
